;M;F;?;Year;LAT;VERN;
20164;;;1;;1;;
20165;;;1;;1;;
20166;;;1;;1;;
20167;;;1;;1;;
20168;;;1;;1;;
20169;;;1;;1;;
20170;;;1;;1;;
20171;;;1;;1;;
20172;;;1;;1;;
20173;1;;;1300-t;1;;Qui scripsit scribat
20174;1;;;1300-t;1;;Finito libro, dentur sua dona magistro
20175;;;1;;1;;
20176;;;1;;1;;
20177;;;1;;1;;
20178;;;1;;1;;
20179;;;1;;1;;
20180;1;;;1300-t;1;;reddantur vina magistro
20181;;;1;;1;;
20182;;;1;;1;;
20183;1;;;7-800-t;1;;Qui legis, ora pro scribtore
20184;;;1;;1;;
20185;;;1;;1;;
20186;;;1;;1;;
20187;;;1;;1;;
20188;;;1;;1;;
20189;;;1;;1;;
20190;;;1;;1;;
20191;;;1;;1;;
20192;;;1;;1;;
20193;1;;;1300-t;1;;Benedictus qui scripsit
20194;;;1;;1;;
20195;;;1;;1;;
20196;;;1;;1;;
20197;;;1;;1;;
20198;;;1;;1;;
20199;;;1;;1;;
20200;1;;;13-1400-t;1;;Benedictus sut qui hec scripsit
20201;1;;;1300-t;1;;Benedictus sut qui hec scripsit
20202;;;1;;1;;
20203;1;;;1400-t;1;;immemor scriptoris ne existat
20204;1;;;1478;1;;largiatur scriptori vitam eternam
20205;;;1;;1;;
20206;;;1;;;1;
20207;;;1;;;1;
20208;;;1;;;1;
20209;;;1;;1;;
20210;;;1;;1;;
20211;;;1;;1;;
20212;;;1;;;1;
20213;;1;;1451;;1;Pit den almechtigen god …für die schreiberin, die dise legent geschriben hat
20214;;1;;1463;;1;Biddet dorch die lieffde godes eyn Ave Maria vur eyn arme sunderynne, die dit boich geschrevin hait
20215;;;1;;;1;
20216;1;;;1400-t;;1;Bittend got für den schriber
20217;1;;;1438;;1;Bittet gott für den schreiber
20218;1;;;1453;;1;Pitt gott für den screiber
20219;;1;;;;1;Bitt gott für die arme schriberin
20220;;1;;;;1;Pitt got fur die schreiberin
20221;;1;;1443;;1;Pitt got fur die schreyberin
20222;;1;;1498;;1;Biten got für die schriberin mit ain Ave Maria
20223;;;1;;;1;
20224;1;;;1435;;1;Biddet god vor den schryver
20225;1;;;1437;;1;Bidt om god willen voer den scriver
20226;;1;;1560;;1;Bidt om gods wil voor dese scryfster
20227;;1;;1473;;1;Bidt om gods wille voer di scrijverse
20228;;1;;1545;;1;Bidt om gods wil voer die scrijverse
20229;;1;;1542;;1;Biddet vor de armen schrijverschen
20230;;1;;1501;;1;Biddet voer den scrijfster om gods willen
20231;1;;;1400-t;;1;Biddet vor den scriver post mortem
20232;1;;;1557;;1;Bidt voor den scryver
20233;;1;;14-1500-t;;1;Bidt voer die dit scref
20234;;1;;1469;;1;Bidt voir die gheen (?) die dit hebben ghescreven
20235;;1;;1470;;1;Bidt voir die gheen (?) die dit hebben ghescreven
20236;;1;;1505;;1;Bidt voir die ghene (?) dien screef 
20237;;1;;1400-t;;1;Bidt voer die scrijfster om god
20238;1;;;1500-t;;1;Bidt voer di scriver 
20239;;1;;1445;;1;Byfdt voer die scrijveresse 
20240;;1;;1465;;1;Bidt voer die scriversche
20241;;;1;;;1;
20242;;;1;;1;1;
20243;;;1;;;1;
20244;;;1;;;1;
20245;;;1;;;1;
20246;;;1;;;1;
20247;1;;;1400-t;1;;Candidior stella me diligat una puella…
20248;;;1;;1;;
20249;;;1;;1;;
20250;1;;;1420;1;;Qui scripsit carmen sit benedictus
20251;1;;;1400-t;1;;Scriptoris dextra salvetur
20252;;;1;;1;;
20253;1;;;1100-t;1;;Finito libro, tunica reddatur magistro
20254;;;1;;1;;
20255;;;1;;1;;
20256;;;1;;1;;
20257;;;1;;;1;
20258;;;1;;;1;
20259;;;1;;;1;
20260;;;1;;;1;
20261;;;1;;;1;
20262;;;1;;;1;
20263;1;;;1300-t;1;;Librum qui scripsit
20264;1;;;1300-t;;1;celui qui lescrit
20265;1;;;1400-t;;1;celui qui lescrit
20266;1;;;1400-t;;1;celui qui lescrit
20267;1;;;1300-t;;1;celui qui cest livre escrit
20268;1;;;1420;;1;celui qui cesti livre escrist
20269;1;;;;;1;celui qui cesti livre escrist
20270;;;1;1400-t;;1;
20271;1;;;1468;;1;par la main dun homme …
20272;;;1;;;1;
20273;;;1;;;1;
20274;;;1;;;1;
20275;;;1;;;1;
20276;;;1;;;1;
20277;1;;;;1;;Coepi hunc libellum, sed pueri nostri, quos docui, meo iuvamine perscripserunt
20278;;;1;;1;;
20279;;;1;;;1;
20280;1;;;1448;;1;prieghi idio per lo scrictore
20281;1;;;1400-t;;1;per cholui che qui scripto l'a
20282;;;1;;;1;
20283;;;1;;;1;
20284;;;1;;;1;
20285;;;1;;;1;
20286;;;1;;1;;
20287;1;;;;1;;Christe scriptorem salvet
20288;;;1;;1;;
20289;1;;;;1;;Qui scripsit valeat
20290;;;1;;1;;
20291;;;1;;1;;
20292;1;;;;1;;Qui scripsit scribat
20293;;;1;;1;;
20294;;;1;;1;;
20295;;;1;;1;;
20296;;;1;;1;;
20297;;;1;;1;;
20298;;;1;;1;;
20299;;;1;;1;;
20300;;;1;;1;;
20301;1;;;;1;;Christus scriptorem salvat
20302;1;;;;1;;Christus scriptorem salvet
20303;1;;;;1;;Christus scriptorem salvet
20304;;;1;;;1;
20305;;;1;;;1;
20306;;;1;;;1;
20307;;;1;;;1;
20308;;;1;;;1;
20309;;;1;;;1;
20310;1;;;1283;;1;qui scripsit (sit) benedictus
20311;;;1;;1;;
20312;;;1;;1;;
20313;;;1;;1;;
20314;1;;;1300-t;1;;Qui transcripsit eum
20315;;;1;;1;;
20316;;;1;;1;;
20317;1;;;900-t;1;;Codicis istius scriptor
20318;1;;;1461;1;;Codicis istius scriptor
20319;1;;;1200-t;1;;Et pro scriptore devoto supplicet ore
20320;;;1;;;1;
20321;;;1;;1;;
20322;;;1;;1;;
20323;;;1;;1;;
20324;;;1;;1;;
20325;;;1;;1;;
20326;;;1;;1;;
20327;;;1;;1;;
20328;;;1;;1;;
20329;;;1;;1;;
20330;;;1;;1;;
20331;;;1;;1;;
20332;;;1;;1;;
20333;;;1;;1;;
20334;;;1;;1;;
20335;1;;;700-t;1;;Ora pro scriptoris (!)
20336;;;1;;;1;
20337;;;1;;1;;
20338;1;;;1400-t;1;;Corpus scriptoris salvet
20339;;;1;;1;;
20340;;;1;;1;;
20341;1;;;1100-t;1;;scriptor
20342;;;1;;1;;
20343;;;1;;1;;
20344;;;1;;1;;
20345;;;1;;1;;
20346;;;1;;1;;
20347;;;1;;1;;
20348;;;1;;1;;
20349;;;1;;1;;
20350;;;1;;1;;
20351;;;1;;1;;
20352;1;;;1400-t;1;;Cuius scriptorem regat
20353;1;;;1462;1;;precium volt scriptor habere
20354;1;;;1200-t;1;;scriptori cena paretur
20355;1;;;1400-t;1;;memoratus sit tibi scriptor
20356;;;1;;1;;
20357;;;1;;1;;
20358;;;1;;1;;
20359;1;;;1400-t;1;;Orate pro me ingrato peccatore
20360;;;1;;1;;
20361;1;;;;1;;
20362;;;1;;1;;
